trade_id,entry_time,exit_time,direction,entry_price_a,entry_price_b,exit_price_a,exit_price_b,qty_a,qty_b,gross_pnl,fees,slippage_cost,net_pnl,return_pct,duration_bars,exit_reason
166,2025-01-24 15:00:00+00:00,2025-01-24 20:00:00+00:00,LONG_SPREAD,3.1646,122.06,3.1036,116.7,789.9892561461164,-53.92504432957335,240.84889298160005,7.130781695801609,3.5653908479008045,230.15272043789764,0.0253413803821865,5,mean_reversion_exit
167,2025-01-25 02:00:00+00:00,2025-01-26 17:00:00+00:00,LONG_SPREAD,3.1169,122.9,3.1189,121.18,802.0789887388111,-53.55647608517269,93.7212968439748,7.229467536338573,3.614733768169286,82.87709553946694,0.009125332079675105,39,mean_reversion_exit
168,2025-01-30 05:00:00+00:00,2025-02-01 08:00:00+00:00,LONG_SPREAD,3.1159,125.93,3.0245,124.17,802.3364036073045,-52.26785444983501,18.657876542002498,7.199542740245612,3.599771370122806,7.8585624316340805,0.0008652811900649931,51,mean_reversion_exit
169,2025-02-03 02:00:00+00:00,2025-02-05 08:00:00+00:00,SHORT_SPREAD,2.1517,89.62,2.5143,102.86,-1161.8720081795789,73.44444221008395,551.1096246955958,7.823152410705151,3.911576205352575,539.3748960795381,0.05938884573750704,54,mean_reversion_exit
170,2025-02-09 16:00:00+00:00,2025-02-09 21:00:00+00:00,LONG_SPREAD,2.425,108.36,2.3338,103.14,1030.9278350515465,-60.742810177812146,223.05685057147858,7.101233493620228,3.550616746810114,212.40500033104823,0.02338723565042519,5,mean_reversion_exit
171,2025-02-10 01:00:00+00:00,2025-02-10 03:00:00+00:00,LONG_SPREAD,2.3428,108.51,2.3818,112.38,1067.0991975414036,-60.65884168157518,-193.1328486035805,7.376219363098904,3.6881096815494514,-204.19717764822886,-0.022483498530485355,2,stop_z_exit
172,2025-02-11 04:00:00+00:00,2025-02-12 04:00:00+00:00,LONG_SPREAD,2.4767,130.06,2.3945,116.02,1009.4076795736262,-50.60811095546459,627.5645665537709,6.948268253063911,3.474134126531955,617.142164174175,0.06795155105039703,24,mean_reversion_exit
173,2025-02-16 01:00:00+00:00,2025-02-16 13:00:00+00:00,LONG_SPREAD,2.791,136.12,2.7306,128.43,895.736295234683,-48.35506105544904,317.7479472842282,7.095291571994749,3.547645785997374,307.10500992623605,0.033814351005752544,12,mean_reversion_exit
174,2025-02-17 18:00:00+00:00,2025-02-18 09:00:00+00:00,SHORT_SPREAD,2.625,120.74,2.5989,124.37,-952.3809523809524,54.51458432058741,222.7450839408757,7.334885047984815,3.667442523992407,211.74275636889848,0.02331431808456409,15,mean_reversion_exit
175,2025-02-19 01:00:00+00:00,2025-02-20 04:00:00+00:00,LONG_SPREAD,2.5376,132.86,2.7125,131.88,985.1828499369484,-49.54155434944847,220.85920371643272,7.315175831570784,3.657587915785392,209.88643996907655,0.02310992501935036,27,mean_reversion_exit
176,2025-02-24 23:00:00+00:00,2025-02-26 02:00:00+00:00,SHORT_SPREAD,2.2769,114.69,2.3176,121.1,-1097.984101190215,57.390277363917725,323.1837249842705,7.430696581022643,3.715348290511321,312.03768011273655,0.034357471553092364,27,mean_reversion_exit
177,2025-02-27 08:00:00+00:00,2025-02-28 06:00:00+00:00,LONG_SPREAD,2.2079,129.42,2.0051,116.84,1132.2976584084424,-50.85837514192338,410.16839416016336,6.917901398929928,3.458950699464964,399.7915420617685,0.044019768793921,22,mean_reversion_exit
178,2025-03-02 14:00:00+00:00,2025-03-02 15:00:00+00:00,SHORT_SPREAD,2.2254,118.48,2.5972,121.38,-1123.3935472274648,55.554447255804554,-256.5698238173386,7.497186975854581,3.74859348792729,-267.8156042811205,-0.029488320135691394,1,stop_z_exit
179,2025-03-03 16:00:00+00:00,2025-03-06 04:00:00+00:00,SHORT_SPREAD,2.6074,114.26,2.5295,109.53,-958.8095420725626,57.60625687789011,-197.78633170496772,7.126805185350231,3.563402592675115,-208.47653948299308,-0.022954685383464714,60,mean_reversion_exit
180,2025-03-08 05:00:00+00:00,2025-03-08 22:00:00+00:00,LONG_SPREAD,2.3471,106.76,2.3404,102.96,1065.1442205274593,-61.65315577807909,227.14552567916687,7.169105345400485,3.5845526727002426,216.39186766106613,0.023826216868422817,17,mean_reversion_exit
181,2025-03-10 17:00:00+00:00,2025-03-14 12:00:00+00:00,SHORT_SPREAD,2.0497,88.49,2.3053,90.51,-1219.6906864419184,74.38231337854813,-161.5006664298861,7.450474813685869,3.7252374068429344,-172.6763786504149,-0.019012844106613,91,mean_reversion_exit
182,2025-03-17 10:00:00+00:00,2025-03-18 00:00:00+00:00,LONG_SPREAD,2.3298,93.33,2.3219,91.29,1073.0534809854923,-70.52492136363146,135.393717082022,7.204733543861543,3.6023667719307717,124.58661676622968,0.013717834140720617,14,mean_reversion_exit
183,2025-03-24 21:00:00+00:00,2025-03-25 03:00:00+00:00,LONG_SPREAD,2.458,94.89,2.4134,92.19,1017.087062652563,-69.3654854132967,141.92472762159701,7.172613171250097,3.586306585625048,131.16580786472187,0.0144422478427041,6,mean_reversion_exit
184,2025-03-26 00:00:00+00:00,2025-03-26 15:00:00+00:00,LONG_SPREAD,2.4539,95.12,2.4038,93.0,1018.7864216145728,-69.19775978624604,95.65805102395183,7.186576548506286,3.5932882742531427,84.87818620119239,0.009345665776107383,15,mean_reversion_exit
185,2025-03-28 07:00:00+00:00,2025-04-01 06:00:00+00:00,SHORT_SPREAD,2.22,88.3,2.0981,84.52,-1126.126126126126,74.54236592149178,-144.49536840846417,7.0980547615109755,3.5490273807554873,-155.14245055073064,-0.017082239329391163,95,mean_reversion_exit
186,2025-04-02 06:00:00+00:00,2025-04-02 15:00:00+00:00,SHORT_SPREAD,2.0696,81.34,2.1718,85.66,-1207.9628913799768,80.92071441932288,226.1236787924403,7.454885246210383,3.727442623105191,214.94135092312473,0.02366650510687178,9,mean_reversion_exit
187,2025-04-05 16:00:00+00:00,2025-04-06 17:00:00+00:00,SHORT_SPREAD,2.1226,82.03,2.0329,76.2,-1177.8008103269576,80.24004523793397,-362.1507310508272,7.036293450124786,3.5181467250623926,-372.70517122601433,-0.04103737508066909,25,stop_z_exit
188,2025-04-15 15:00:00+00:00,2025-04-17 16:00:00+00:00,SHORT_SPREAD,2.1335,75.63,2.0835,75.83,-1171.7834544176235,87.0301588108915,75.99520448306001,7.249199472310699,3.624599736155349,65.12140527459395,0.007170309779289811,49,mean_reversion_exit
189,2025-04-20 20:00:00+00:00,2025-04-21 08:00:00+00:00,LONG_SPREAD,2.0801,77.56,2.1362,80.96,1201.8652949377436,-84.86450375022851,-221.11466970476846,7.408058311012893,3.704029155506446,-232.2267571712878,-0.025569745937403347,12,stop_z_exit
190,2025-04-22 14:00:00+00:00,2025-04-24 08:00:00+00:00,LONG_SPREAD,2.15,81.82,2.1327,81.22,1162.7906976744187,-80.44599011082529,28.151314996727155,7.238319179439677,3.619159589719838,17.29383622756764,0.00190416902861803,42,mean_reversion_exit
191,2025-04-25 12:00:00+00:00,2025-04-27 04:00:00+00:00,LONG_SPREAD,2.1908,85.67,2.1659,85.14,1141.1356582070478,-76.83075651765756,12.306023065003473,7.238018897156694,3.6190094485783466,1.4489947192684323,0.0001595441769399765,40,mean_reversion_exit
192,2025-05-01 15:00:00+00:00,2025-05-01 18:00:00+00:00,LONG_SPREAD,2.2356,87.52,2.2326,89.37,1118.268026480587,-75.20670601996942,-142.48721021638545,7.319983769517179,3.6599918847585897,-153.4671858706612,-0.016897781290321684,3,stop_z_exit
193,2025-05-05 21:00:00+00:00,2025-05-06 20:00:00+00:00,SHORT_SPREAD,2.1337,83.0,2.1263,84.41,-1171.6736185968036,79.30230013093643,120.48662796223653,7.306931072056981,3.6534655360284902,109.52623135415105,0.01205958324234465,23,mean_reversion_exit
194,2025-05-07 00:00:00+00:00,2025-05-11 13:00:00+00:00,LONG_SPREAD,2.166,92.79,2.3452,98.99,1154.201292705448,-70.93534767612591,-232.96628393916313,7.524325539592098,3.762162769796049,-244.25277224855128,-0.026893892017341058,109,mean_reversion_exit
195,2025-05-14 15:00:00+00:00,2025-05-15 19:00:00+00:00,SHORT_SPREAD,2.5598,99.93,2.4476,99.53,-976.6387999062426,65.86701601989115,83.23206694152366,7.211302456791205,3.605651228395602,72.41511325633685,0.007973396651390506,28,mean_reversion_exit
196,2025-05-20 08:00:00+00:00,2025-05-21 15:00:00+00:00,SHORT_SPREAD,2.3553,93.81,2.3988,96.6,-1061.435910499724,70.1640647145051,149.5852784467308,7.362444809758264,3.6812224048791315,138.5416112320934,0.015254373975304858,31,mean_reversion_exit
197,2025-05-23 03:00:00+00:00,2025-05-23 11:00:00+00:00,LONG_SPREAD,2.4728,102.1,2.3621,97.38,1010.9996764801035,-64.46710000849878,192.36704785376668,7.099191778203595,3.549595889101797,181.7182601864613,0.020008416780877555,8,mean_reversion_exit
198,2025-05-29 03:00:00+00:00,2025-05-29 15:00:00+00:00,LONG_SPREAD,2.2903,97.25,2.2758,95.71,1091.560057634371,-67.68216874928251,88.40291903819715,7.217649464410343,3.6088247322051714,77.57644484158163,0.008541694374447722,12,mean_reversion_exit
199,2025-05-30 01:00:00+00:00,2025-06-01 16:00:00+00:00,SHORT_SPREAD,2.1918,91.28,2.1676,88.09,-1140.6150196185783,72.10879613132913,-202.42417618417016,7.162620751440697,3.581310375720348,-213.1681073113312,-0.02347125892081217,63,mean_reversion_exit
200,2025-06-05 17:00:00+00:00,2025-06-05 20:00:00+00:00,SHORT_SPREAD,2.1696,86.83,2.059,82.17,-1152.2861356932153,75.80434079082949,-225.80538147759574,7.073396298817006,3.536698149408503,-236.41547592582126,-0.026030952370552033,3,stop_z_exit
201,2025-06-10 12:00:00+00:00,2025-06-12 04:00:00+00:00,LONG_SPREAD,2.3139,92.39,2.2461,90.03,1080.426984744371,-71.24246034059664,94.87925683814005,7.169118666306389,3.5845593331531944,84.12557883868047,0.009262798585071962,40,mean_reversion_exit
202,2025-06-13 01:00:00+00:00,2025-06-13 23:00:00+00:00,SHORT_SPREAD,2.1095,82.42,2.1463,86.47,-1185.1149561507466,79.8603604812876,279.82222956286716,7.412491404828404,3.7062457024142015,268.70349245562454,0.029586082664520695,22,mean_reversion_exit
203,2025-06-17 15:00:00+00:00,2025-06-17 16:00:00+00:00,SHORT_SPREAD,2.1783,84.04,2.1475,82.59,-1147.6839737409907,78.3209294486878,-78.21668130937485,7.2061071230574525,3.603053561528726,-89.02584199396102,-0.009802350897790702,1,stop_z_exit
204,2025-06-20 17:00:00+00:00,2025-06-21 06:00:00+00:00,SHORT_SPREAD,2.1165,82.37,2.1278,84.02,-1181.1953697141507,79.90883708714003,118.5020735160101,7.323751564242801,3.6618757821214,107.5164461696459,0.011838292219800466,13,mean_reversion_exit
205,2025-06-21 19:00:00+00:00,2025-06-21 21:00:00+00:00,SHORT_SPREAD,2.0698,80.96,2.0368,79.27,-1207.846168711953,81.30053002554007,-97.53897217566818,7.194770000969916,3.5973850004849575,-108.33112717712305,-0.011927994141469441,2,stop_z_exit
206,2025-06-27 04:00:00+00:00,2025-06-27 13:00:00+00:00,LONG_SPREAD,2.1092,85.38,2.0932,83.83,1185.2835198179405,-77.09171832827037,100.52762709173179,7.210290048803818,3.6051450244019088,89.71219201852605,0.009877922705131206,9,mean_reversion_exit
207,2025-06-28 17:00:00+00:00,2025-06-30 06:00:00+00:00,LONG_SPREAD,2.199,87.16,2.1779,86.18,1136.880400181901,-75.51733491128641,50.01881176922216,7.22647466283142,3.6132373314157094,39.17909977497503,0.0043138854432840925,37,mean_reversion_exit
208,2025-07-01 16:00:00+00:00,2025-07-02 14:00:00+00:00,SHORT_SPREAD,2.1973,84.32,2.196,85.55,-1137.7599781550084,78.06085046095498,97.49393403857604,7.303487031932329,3.651743515966164,86.53870349067755,0.009528500027138514,22,mean_reversion_exit
209,2025-07-03 06:00:00+00:00,2025-07-04 06:00:00+00:00,LONG_SPREAD,2.2727,90.08,2.2338,87.53,1100.013200158402,-73.06939288263459,143.5364383645562,7.174025742559428,3.5870128712797134,132.77539975071707,0.014619474860336035,24,mean_reversion_exit
210,2025-07-07 15:00:00+00:00,2025-07-08 17:00:00+00:00,SHORT_SPREAD,2.3381,86.1,2.3089,87.2,-1069.2442581583337,76.44704890670992,115.3136861356048,7.286820657277843,3.6434103286389217,104.38345514968803,0.011493328592954483,26,mean_reversion_exit
211,2025-07-10 18:00:00+00:00,2025-07-11 21:00:00+00:00,LONG_SPREAD,2.4878,92.57,2.7415,94.44,1004.9039311841788,-71.10393119658339,121.9797760038147,7.420836120165794,3.7104180600828967,110.84852182356602,0.012205176419333517,27,mean_reversion_exit
212,2025-07-18 04:00:00+00:00,2025-07-18 08:00:00+00:00,LONG_SPREAD,3.593,107.33,3.4496,108.75,695.7973838018369,-61.32573288798774,-186.85988553812592,7.260594807039683,3.630297403519841,-197.75077774868544,-0.021773706042961406,4,stop_z_exit
213,2025-07-19 20:00:00+00:00,2025-07-19 21:00:00+00:00,LONG_SPREAD,3.4164,111.41,3.404,112.57,731.7644303945674,-59.07989328487321,-77.60655514734533,7.289456247603603,3.6447281238018014,-88.54073951875074,-0.009748937814837547,1,stop_z_exit
214,2025-07-28 14:00:00+00:00,2025-07-30 17:00:00+00:00,SHORT_SPREAD,3.1543,110.14,3.1306,110.13,-792.568874235171,59.76113047818889,18.186271014591505,7.257920131244518,3.628960065622259,7.299390817724728,0.0008037125910059104,51,mean_reversion_exit
