asset_a,asset_b,start_date,end_date,observations,correlation,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,half_life,spread_mean,spread_std,selected
BNB/USDT:USDT,LTC/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.2889424996511961,-1.441269923828188,0.7830174173745463,-1.442442806532594,0.5617679894381165,0.34762840139053197,1256.1031184683163,5.1650767447597845,0.17127655902350178,False
BNB/USDT:USDT,BCH/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.4280921646293623,-1.107834781949117,0.8804137116669996,-1.1075913724169844,0.7120350781469252,0.8176460738976952,1109.3206383880347,1.6183621465934868,0.16168507709299348,False
BNB/USDT:USDT,ATOM/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,-0.23920327496766955,-1.7545877341005576,0.6515066578177015,-1.7550199000588762,0.4030104488795887,-0.1479362506976659,716.9617375699579,6.945756188694267,0.17371382777594377,False
BNB/USDT:USDT,NEAR/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.15405736096533906,-1.6532864232682165,0.6978837417381625,-1.6547882721936649,0.4545444106519847,0.13968909072799424,1041.8671687636615,6.641723528549945,0.17677178696107293,False
BNB/USDT:USDT,APT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,-0.1958360942386104,-1.7172168754504613,0.6689929720707312,-1.7177254061512945,0.4220037300951397,-0.0934397616788742,767.7399192874084,6.877260956195929,0.17544335088019056,False
BNB/USDT:USDT,ARB/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.006221080804768554,-1.724456819013292,0.6656382138828083,-1.7254448923198804,0.4180524754898991,0.0033467560469524777,870.3495998249557,6.761966069222939,0.17890414073006097,False
BNB/USDT:USDT,OP/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,-0.13351819853191108,-1.7598478362235856,0.6490124197497102,-1.7605279447815896,0.40022695910603795,-0.06715068130761885,768.5573189388205,6.715076302064833,0.17730572879220846,False
SOL/USDT:USDT,XRP/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8363224815039497,-1.6696848611107475,0.6906026348631421,-1.6695161506345488,0.44688312726053714,0.9149043363232783,621.0141100150348,4.286693670288689,0.10583842595639015,False
SOL/USDT:USDT,ADA/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8942523734522619,-2.206295989628941,0.42111921091709675,-2.206047291431826,0.20405796481083943,0.596764894124919,402.1280612263123,5.401387477275274,0.08640295885092687,False
SOL/USDT:USDT,DOGE/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9393862882129022,-2.3334579783233846,0.35698174178524816,-2.333663614428495,0.16134048342992274,0.8248498265111486,278.6527453160258,6.504002284641247,0.06618993900453922,False
